ingredient_name,example_unit,has_numeric_quantity
oats,g,True
low-fat Greek yogurt,g,True
unflavored whey protein,g,True
mustard seeds,tsp,True
curry leaves,,False
green chili,,False
minced ginger,,False
oil,tsp,True
"moong dal, soaked overnight",g,True
"low-fat paneer, crumbled",g,True
coriander,,False
salt,,False
hing,,False
extra-firm tofu,g,True
whole wheat bread,piece,True
turmeric,tsp,True
kala namak (black salt),tsp,True
cilantro,,False
whole wheat flour (atta),g,True
"low-fat paneer, grated",g,True
carom seeds (ajwain),tsp,True
red chili powder,,False
garam masala,,False
ghee,tsp,True
dry soya chunks,g,True
green peas,g,True
brown rice,g,True
onion-tomato gravy base,tbsp,True
quinoa,g,True
"capsicum, diced",piece,True
"onion, diced",piece,True
kadhai spice mix (crushed coriander seeds / dry red chili),,False
dry soya granules,g,True
"atta, for 2 rotis",g,True
kasuri methi,tsp,True
"kabuli chana, soaked and boiled",g,True
basmati rice,g,True
biryani spice mix,,False
low-fat curd,g,True
mint leaves,,False
"cucumber, grated",,False
low-fat paneer,g,True
"onion, finely chopped",piece,True
"tomato, finely chopped",piece,True
"kala chana, soaked overnight and boiled",g,True
"mixed sprouts, steamed",g,True
"cucumber, chopped",piece,True
"tomato, chopped",piece,True
chaat masala,,False
lemon juice,,False
olive oil,tsp,True
whole black urad dal,g,True
rajma,g,True
low-fat milk,ml,True
"ginger, julienned",,False
"dry soya chunks, boiled and squeezed",g,True
"extra-firm tofu, cubed",g,True
"broccoli and bell peppers, mixed",cup,True
soy sauce,tbsp,True
vinegar,tsp,True
"garlic, minced",,False
dry-roasted chana,g,True
almonds,piece,True
whey isolate,piece,True
soy milk,ml,True
chia seeds,g,True
whole edamame pods,g,True
sea salt,,False
red chili flakes,,False
dry-roasted soya nuts,g,True
"onions, finely chopped",piece,True
tomatoes,piece,True
green chilies,piece,True
ginger-garlic paste,tbsp,True
mustard oil,tbsp,True
coriander leaves,,False
"regular paneer, cubed thick",g,True
mild Greek yogurt,cup,True
Kashmiri red chili powder,tsp,True
cumin powder,tsp,True
"bell peppers, diced",,False
"onions, diced",,False
soft readymade parathas,,False
"kala chana, boiled",g,True
raw sprouted moong,g,True
"cucumber, large, diced",piece,True
"tomatoes, diced",piece,True
"red onion, diced",piece,True
roasted cumin powder,tsp,True
"lemon juice, freshly squeezed",,False
black salt,,False
"moong dal, soaked, ground into paste",cup,True
flour tortillas,,False
mozzarella/cheddar shredded blend,cup,True
"sweet corn kernels, mild",,False
"rajma, soaked overnight",g,True
"soya chunks, processed into fine grains",g,True
tomato puree,cup,True
degi mirch,tsp,True
fat-free Greek yogurt,cup,True
spray oil,,False
yellow moong/toor dal,cup,True
premium butter,tbsp,True
cumin seeds,tsp,True
long-grain basmati rice,,False
fresh spinach,kg,True
"low-fat paneer, cubed and seared",g,True
onions,piece,True
"firm tofu, mashed",g,True
soy flour,tbsp,True
fresh tomato puree,cup,True
onion paste,piece,True
quinoa-rice blend,cup,True
split moong dal,,False
split chana dal,,False
split urad dal,,False
mint-cilantro-yogurt chutney,,False
shredded cucumber,,False
shredded carrots,,False
"large soya chunks, triple-boiled and hard-squeezed",g,True
"firm tofu, cubed",g,True
broccoli florets,cup,True
mixed bell peppers,cup,True
low-sodium soy sauce,tbsp,True
"ginger, minced",tbsp,True
cornstarch,tsp,True
